2004/5/2,28 ,25 
2004/5/9,43 ,37 
2004/5/16,59 ,50 
2004/5/23,38 ,33 
2004/5/30,62 ,53 
2004/6/6,38 ,33 
2004/6/13,40 ,34 
2004/6/20,35 ,30 
2004/6/27,27 ,23 
2004/7/4,33 ,28 
2004/7/11,29 ,25 
2004/7/18,25 ,22 
2004/7/25,33 ,28 
2004/8/1,54 ,46 
2004/8/8,43 ,37 
2004/8/15,61 ,53 
2004/8/22,67 ,58 
2004/8/29,41 ,35 
2004/9/5,44 ,38 
2004/9/12,50 ,43 
2004/9/19,31 ,27 
2004/9/26,62 ,54 
2004/10/3,47 ,40 
2004/10/10,61 ,53 
2004/10/17,46 ,39 
2004/10/24,52 ,45 
2004/10/31,54 ,47 
2004/11/7,45 ,39 
2004/11/14,47 ,40 
2004/11/21,37 ,32 
2004/11/28,47 ,41 
2004/12/5,48 ,41 
2004/12/12,44 ,38 
2004/12/19,25 ,22 
2004/12/26,19 ,16 
2005/1/2,26 ,23 
2005/1/9,33 ,29 
2005/1/16,35 ,30 
2005/1/23,24 ,21 
2005/1/30,31 ,27 
2005/2/6,32 ,28 
2005/2/13,25 ,22 
2005/2/20,43 ,37 
2005/2/27,44 ,38 
2005/3/6,59 ,51 
2005/3/13,49 ,42 
2005/3/20,47 ,41 
2005/3/27,40 ,35 
2005/4/3,51 ,44 
2005/4/10,47 ,41 
2005/4/17,46 ,40 
2005/4/24,47 ,41 
2005/5/1,50 ,43 
2005/5/8,45 ,38 
2005/5/15,43 ,37 
2005/5/22,38 ,33 
2005/5/29,40 ,34 
2005/6/5,32 ,27 
2005/6/12,36 ,31 
2005/6/19,52 ,45 
2005/6/26,53 ,46 
2005/7/3,42 ,36 
2005/7/10,43 ,37 
2005/7/17,44 ,38 
2005/7/24,43 ,37 
2005/7/31,38 ,33 
2005/8/7,57 ,49 
2005/8/14,74 ,64 
2005/8/21,46 ,40 
2005/8/28,87 ,75 
2005/9/4,68 ,59 
2005/9/11,63 ,54 
2005/9/18,65 ,56 
2005/9/25,60 ,52 
2005/10/2,53 ,46 
2005/10/9,47 ,40 
2005/10/16,46 ,40 
2005/10/23,37 ,32 
2005/10/30,48 ,41 
2005/11/6,39 ,33 
2005/11/13,50 ,43 
2005/11/20,39 ,34 
2005/11/27,44 ,38 
2005/12/4,39 ,34 
2005/12/11,34 ,29 
2005/12/18,22 ,19 
2005/12/25,29 ,25 
2006/1/1,40 ,35 
2006/1/8,33 ,29 
2006/1/15,44 ,38 
2006/1/22,47 ,40 
2006/1/29,40 ,35 
2006/2/5,43 ,37 
2006/2/12,44 ,38 
2006/2/19,41 ,36 
2006/2/26,39 ,34 
2006/3/5,39 ,34 
2006/3/12,39 ,34 
2006/3/19,38 ,32 
2006/3/26,36 ,31 
2006/4/2,44 ,38 
2006/4/9,41 ,35 
2006/4/16,59 ,51 
2006/4/23,67 ,58 
2006/4/30,58 ,50 
2006/5/7,59 ,51 
2006/5/14,44 ,38 
2006/5/21,45 ,39 
2006/5/28,37 ,31 
2006/6/4,36 ,31 
2006/6/11,35 ,30 
2006/6/18,38 ,32 
2006/6/25,31 ,27 
2006/7/2,30 ,26 
2006/7/9,44 ,38 
